X;Y;ref;emergency;emergency_telephone_code;operator;name
49,72922603;14,21682681;"	PB010";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,709628;14,24559383;"	PB011";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,66338586;14,08039831;"	PB012";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,67839192;14,08561083;"	PB013";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,66702228;14,09796511;"	PB014";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,68765783;14,10376583;"	PB015";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,68073175;14,12622242;"	PB016";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,679348;14,16113675;"	PB017";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,68843131;14,17043169;"	PB018";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,73452008;14,37604067;"	PB019";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,70023;14,40144483;"	PB020";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,58103603;14,56838747;"	PB021";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,09704283;13,86087317;"	RA001";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,06669781;13,87467958;"	RA002";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,05426786;13,88536269;"	RA003";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,07485067;13,80703464;"	RA004";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,04310164;13,79308092;"	RA005";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,04067836;13,8614615;"	RA006";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,03235875;13,78884075;"	RA007";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,0312015;13,80455031;"	RA008";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,08211519;13,85452614;"	RA009";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,0111915;13,66071139;"	RA010";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,98202761;13,71382547;"	RA011";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,97963967;13,73848867;"	RA012";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,00106233;13,78497125;"	RA013";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,96238733;13,78636581;"	RA014";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,01440425;13,74775931;"	RA015";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,98880647;13,67369622;"	RA016";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,98381575;13,83270708;"	RA017";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,0111945;13,90937947;"	RA018";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,00614322;13,93367475;"	RA019";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,98777411;13,90979306;"	RA020";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,00420081;13,88337922;"	RA021";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,94526294;13,80504172;"	RA022";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,94229511;13,84024525;"	RA023";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,02547142;13,95429197;"	RA024";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,22566269;13,682793;"	RA025";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,15304758;13,77979692;"	RA026";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,14901231;13,80674222;"	RA027";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,16067003;13,82741222;"	RA028";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,16463572;13,87024164;"	RA029";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,14648319;13,86123328;"	RA030";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,13159889;13,84263678;"	RA031";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,11879742;13,83234806;"	RA032";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,11533911;13,79206411;"	RA033";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,1052705;13,79493094;"	RA034";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,09515236;13,78345369;"	RA035";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,10337911;13,82180675;"	RA036";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,08875253;13,53858958;"	RA037";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,12244553;13,53550592;"	RA038";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,04125711;13,42601781;"	RA039";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,03434197;13,41279783;"	RA040";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,07700919;13,52185156;"	RA041";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,05494919;13,51789658;"	RA042";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,22716178;13,83450558;"	RA043";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,20455031;13,80197114;"	RA044";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,21093217;13,87365194;"	RA045";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,24967419;13,78838003;"	RA046";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,21733136;13,76559928;"	RA047";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,09342581;13,58492739;"	RA048";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,00234239;13,66832933;"	RA049";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,21999194;13,81235111;"	RA050";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,80486111;17,79358333;"	OP004";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,52604386;18,77112747;"	FM040";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,53517419;18,62159775;"	FM039";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,56469756;18,65306158;"	FM042";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,56721161;18,67576897;"	FM043";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,57348372;18,64327969;"	FM047";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,59471389;18,81628822;"	FM045";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,62153117;18,62612392;"	FM052";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,63582214;18,61661147;"	FM051";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,67561478;18,79281917;"	FM053";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,61521636;18,80767331;"	FM054";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,64269078;18,67828803;"	FM050";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,6597585;18,79975906;"	FM034";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,51487414;18,70713333;"	FM057";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,52520042;18,70948964;"	FM055";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,55206672;18,63369464;"	FM038";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
